Index,Country Name,Total Area km^2,World share %
176,Luxembourg,"2,586",0.00%
177,Réunion,"2,511",0.00%
178,Mauritius,"2,040",0.00%
179,Comoros,"1,862",0.00%
180,Guadeloupe,"1,628",0.00%
181,Faeroe Islands,"1,393",0.00%
182,Martinique,"1,128",0.00%
183,"China, Hong Kong SAR","1,104",0.00%
184,Sao Tome and Principe,964,0.00%
185,Turks and Caicos Islands,948,0.00%
186,Kiribati,811,0.00%
187,Bahrain,765,0.00%
188,Dominica,751,0.00%
189,Tonga,747,0.00%
190,Singapore,710,0.00%
191,Micronesia,702,0.00%
192,Saint Lucia,616,0.00%
193,Isle of Man,572,0.00%
194,Guam,549,0.00%
195,Andorra,468,0.00%
196,Northern Mariana Islands,464,0.00%
197,Palau,459,0.00%
198,Seychelles,452,0.00%
199,Curaçao,444,0.00%
200,Antigua and Barbuda,442,0.00%
201,Barbados,430,0.00%
202,Saint Helena,394,0.00%
203,Saint Vincent and the Grenadines,389,0.00%
204,Mayotte,374,0.00%
205,United States Virgin Islands,347,0.00%
206,Grenada,344,0.00%
207,Caribbean Netherlands,328,0.00%
208,Malta,316,0.00%
209,Maldives,300,0.00%
210,Cayman Islands,264,0.00%
211,Saint Kitts and Nevis,261,0.00%
212,Niue,260,0.00%
213,Saint Pierre and Miquelon,242,0.00%
214,Cook Islands,236,0.00%
215,American Samoa,199,0.00%
216,Marshall Islands,181,0.00%
217,Aruba,180,0.00%
218,Liechtenstein,160,0.00%
219,British Virgin Islands,151,0.00%
220,Wallis and Futuna Islands,142,0.00%
221,Montserrat,102,0.00%
222,Anguilla,91,0.00%
223,San Marino,61,0.00%
224,Bermuda,54,0.00%
225,Saint Martin,53,0.00%
226,Sint Maarten,34,0.00%
227,"China, Macao SAR",30,0.00%
228,Tuvalu,26,0.00%
229,Nauru,21,0.00%
230,Saint Barthélemy,21,0.00%
231,Tokelau,12,0.00%
232,Gibraltar,6,0.00%
233,Monaco,2,0.00%
234,Holy See,0,0.00%
