Index,Country Name,Total Area km^2,World share %,ISO3,EEZ Total km^2,total_area_km2,protected_area_km2,pct_protected,continent
153,Israel,20770,0.02%,ISR,51910.0,72680.0,6156.4047715334,8.47,Asia
154,Slovenia,20273,0.01%,SVN,428.0,20701.0,15463.3726254465,74.7,Europe
155,New Caledonia,18575,0.01%,NCL,,,1359082.679869,,Oceania
156,Fiji,18272,0.01%,FJI,2604228.0,2622500.0,12377.1216931733,0.47,Oceania
157,Kuwait,17818,0.01%,KWT,21550.0,39368.0,4692.8354702192,11.92,Asia
158,Eswatini,17364,0.01%,SWZ,,,3231.715407,,Africa
159,Timor-Leste,14874,0.01%,TLS,154946.0,169820.0,4797.8163449071,2.83,Asia
160,Bahamas,13943,0.01%,BHS,1239570.0,1253513.0,52245.7169083565,4.17,America
161,Montenegro,13812,0.01%,MNE,12766.0,26578.0,4263.3553544611,16.04,Europe
162,Vanuatu,12189,0.01%,VUT,1251700.0,1263889.0,228.12120000000002,0.02,Oceania
163,Falkland Islands,12173,0.01%,FLK,,,65.1549972678,,America
164,Qatar,11586,0.01%,QAT,62978.0,74564.0,3416.79779502,4.58,Asia
165,Jamaica,10991,0.01%,JAM,544312.0,555303.0,6301.052261,1.13,America
166,Gambia,10689,0.01%,GMB,46194.0,56883.0,1213.7111,2.13,Africa
167,Lebanon,10452,0.01%,LBN,37714.0,48166.0,1328.0052245968,2.76,Asia
168,Cyprus,9251,0.01%,CYP,196900.0,206151.0,15640.7522750642,7.59,Asia
169,Puerto Rico,8870,0.01%,PRI,,,3679.7547484648003,,America
170,State of Palestine,6220,0.00%,PSE,2240.0,8460.0,615.45,7.27,Asia
171,Brunei Darussalam,5765,0.00%,BRN,86076.0,91841.0,2532.63,2.76,Asia
172,Trinidad and Tobago,5130,0.00%,TTO,153124.0,158254.0,294.8105327941,0.19,America
173,French Polynesia,4167,0.00%,PYF,,,4574506.360795,,Oceania
174,Cabo Verde,4033,0.00%,CPV,1603872.0,1607905.0,1881.0460719743,0.12,Africa
175,Samoa,2842,0.00%,WSM,260960.0,263802.0,424.0879197322,0.16,Oceania
176,Luxembourg,2586,0.00%,LUX,,,1630.0039544025,,Europe
177,Réunion,2511,0.00%,REU,,,2978.1428227303,,Africa
178,Mauritius,2040,0.00%,MUS,3851720.0,3853760.0,271.0857,0.01,Africa
179,Comoros,1862,0.00%,COM,,,1406.8603600833999,,Africa
180,Guadeloupe,1628,0.00%,GLP,,,3543.6779074240994,,America
181,Faeroe Islands,1393,0.00%,FRO,,,62.87,,Europe
